Wavelength,Absorbance
3316.928,0.086
3315.000,0.085
3313.071,0.085
3311.143,0.084
3309.214,0.084
3307.286,0.085
3305.357,0.084
3303.429,0.084
3301.500,0.082
3299.572,0.080
3297.644,0.076
3295.715,0.072
3293.787,0.067
3291.858,0.063
3289.930,0.058
3288.001,0.054
3286.073,0.051
3284.145,0.048
3282.216,0.045
3280.288,0.042
3278.359,0.040
3276.431,0.038
3274.502,0.037
3272.574,0.035
3270.646,0.034
3268.717,0.032
3266.789,0.031
3264.860,0.030
3262.932,0.029
3261.003,0.028
3259.075,0.028
3257.146,0.027
3255.218,0.026
3253.289,0.025
3251.361,0.025
3249.433,0.024
3247.504,0.023
3245.576,0.023
3243.647,0.023
3241.719,0.022
3239.790,0.022
3237.862,0.022
3235.933,0.021
3234.005,0.021
3232.076,0.021
3230.148,0.020
3228.219,0.020
3226.291,0.020
3224.363,0.020
3222.434,0.020
3220.506,0.019
3218.577,0.019
3216.649,0.019
3214.720,0.019
3212.792,0.019
3210.864,0.019
3208.935,0.019
3207.007,0.019
3205.078,0.019
3203.150,0.019
3201.221,0.019
3199.293,0.019
3197.365,0.020
3195.436,0.020
3193.508,0.020
3191.579,0.020
3189.651,0.019
3187.722,0.019
3185.794,0.018
3183.865,0.018
3181.937,0.017
3180.009,0.017
3178.080,0.016
3176.152,0.016
3174.223,0.015
3172.295,0.015
3170.366,0.014
3168.438,0.014
3166.509,0.014
3164.581,0.013
3162.652,0.013
3160.724,0.013
3158.795,0.013
3156.867,0.013
3154.939,0.013
3153.010,0.013
3151.082,0.013
3149.153,0.013
3147.225,0.013
3145.296,0.013
3143.368,0.014
3141.439,0.014
3139.511,0.014
3137.583,0.015
3135.654,0.016
3133.726,0.016
3131.797,0.017
3129.869,0.018
3127.940,0.018
3126.012,0.018
3124.083,0.018
3122.155,0.018
3120.227,0.018
3118.298,0.017
3116.370,0.017
3114.441,0.017
3112.513,0.017
3110.584,0.017
3108.656,0.016
3106.728,0.016
3104.799,0.016
3102.871,0.016
3100.942,0.016
3099.014,0.016
3097.085,0.016
3095.157,0.016
3093.228,0.016
3091.300,0.017
3089.371,0.017
3087.443,0.017
3085.515,0.017
3083.586,0.017
3081.658,0.017
3079.729,0.017
3077.801,0.018
3075.872,0.018
3073.944,0.018
3072.015,0.019
3070.087,0.020
3068.158,0.020
3066.230,0.021
3064.302,0.022
3062.373,0.022
3060.445,0.023
3058.516,0.023
3056.588,0.023
3054.659,0.023
3052.731,0.023
3050.802,0.023
3048.874,0.024
3046.946,0.024
3045.017,0.025
3043.089,0.025
3041.160,0.026
3039.232,0.026
3037.303,0.026
3035.375,0.026
3033.447,0.026
3031.518,0.026
3029.590,0.025
3027.661,0.025
3025.733,0.024
3023.804,0.024
3021.876,0.024
3019.947,0.024
3018.019,0.025
3016.091,0.025
3014.162,0.026
3012.234,0.027
3010.305,0.028
3008.377,0.030
3006.448,0.031
3004.520,0.033
3002.591,0.034
3000.663,0.036
2998.734,0.038
2996.806,0.041
2994.877,0.044
2992.949,0.047
2991.021,0.050
2989.092,0.054
2987.164,0.059
2985.235,0.064
2983.307,0.070
2981.378,0.076
2979.450,0.083
2977.521,0.091
2975.593,0.099
2973.665,0.109
2971.736,0.119
2969.808,0.130
2967.879,0.141
2965.951,0.152
2964.022,0.162
2962.094,0.170
2960.166,0.177
2958.237,0.181
2956.309,0.184
2954.380,0.184
2952.452,0.182
2950.523,0.180
2948.595,0.177
2946.667,0.174
2944.738,0.171
2942.810,0.169
2940.881,0.168
2938.953,0.166
2937.024,0.165
2935.096,0.165
2933.167,0.164
2931.239,0.165
2929.310,0.167
2927.382,0.171
2925.453,0.178
2923.525,0.187
2921.597,0.196
2919.668,0.201
2917.740,0.201
2915.811,0.195
2913.883,0.184
2911.954,0.169
2910.026,0.152
2908.097,0.137
2906.169,0.125
2904.240,0.118
2902.312,0.113
2900.384,0.110
2898.455,0.107
2896.527,0.103
2894.598,0.100
2892.670,0.096
2890.741,0.092
2888.813,0.088
2886.885,0.085
2884.956,0.083
2883.028,0.083
2881.099,0.084
2879.171,0.085
2877.242,0.088
2875.314,0.090
2873.385,0.091
2871.457,0.090
2869.529,0.088
2867.600,0.086
2865.672,0.082
2863.743,0.079
2861.815,0.077
2859.886,0.077
2857.958,0.080
2856.029,0.086
2854.101,0.092
2852.173,0.097
2850.244,0.097
2848.316,0.093
2846.387,0.085
2844.459,0.073
2842.530,0.059
2840.602,0.047
2838.673,0.039
2836.745,0.034
2834.816,0.031
2832.888,0.030
2830.960,0.029
2829.031,0.028
2827.103,0.027
2825.174,0.026
2823.246,0.025
2821.317,0.024
2819.389,0.023
2817.460,0.022
2815.532,0.021
2813.604,0.020
2811.675,0.019
2809.747,0.019
2807.818,0.018
2805.890,0.018
2803.961,0.018
2802.033,0.017
2800.104,0.017
2798.176,0.017
2796.248,0.016
2794.319,0.016
2792.391,0.016
2790.462,0.016
2788.534,0.016
2786.605,0.016
2784.677,0.016
2782.749,0.016
2780.820,0.016
2778.892,0.016
2776.963,0.016
2775.035,0.016
2773.106,0.016
2771.178,0.016
2769.249,0.016
2767.321,0.016
2765.392,0.016
2763.464,0.015
2761.535,0.015
2759.607,0.015
2757.679,0.015
2755.750,0.015
2753.822,0.015
2751.893,0.015
2749.965,0.015
2748.036,0.015
2746.108,0.015
2744.179,0.015
2742.251,0.014
2740.323,0.014
