Wavelength,Absorbance
1014.363,0.386
1012.434,0.368
1010.506,0.347
1008.578,0.329
1006.649,0.315
1004.721,0.305
1002.792,0.298
1000.864,0.291
998.935,0.285
997.007,0.279
995.078,0.275
993.150,0.271
991.222,0.268
989.293,0.266
987.365,0.266
985.436,0.267
983.508,0.268
981.579,0.270
979.651,0.273
977.722,0.275
975.794,0.278
973.866,0.280
971.937,0.283
970.009,0.286
968.080,0.289
966.152,0.292
964.223,0.294
962.295,0.296
960.366,0.297
958.438,0.297
956.510,0.297
954.581,0.297
952.653,0.297
950.724,0.297
948.796,0.297
946.867,0.296
944.939,0.294
943.010,0.290
941.082,0.286
939.154,0.280
937.225,0.274
935.297,0.267
933.368,0.261
931.440,0.254
929.511,0.249
927.583,0.244
925.654,0.242
923.726,0.241
921.797,0.242
919.869,0.244
917.941,0.245
916.012,0.245
914.084,0.241
912.155,0.235
910.227,0.225
908.298,0.213
906.370,0.201
904.441,0.190
902.513,0.180
900.585,0.171
898.656,0.165
896.728,0.160
894.799,0.158
892.871,0.156
890.942,0.156
889.014,0.156
887.085,0.157
885.157,0.157
883.229,0.158
881.300,0.158
879.372,0.159
877.443,0.160
875.515,0.162
873.586,0.166
871.658,0.172
869.729,0.178
867.801,0.186
865.872,0.192
863.944,0.197
862.016,0.200
860.087,0.202
858.159,0.204
856.230,0.206
854.302,0.208
852.373,0.210
850.445,0.211
848.516,0.211
846.588,0.208
844.660,0.204
842.731,0.198
840.803,0.193
838.874,0.189
836.946,0.186
835.017,0.184
833.089,0.184
831.160,0.186
829.232,0.192
827.304,0.201
825.375,0.215
823.447,0.233
821.518,0.251
819.590,0.265
817.661,0.274
815.733,0.275
813.804,0.268
811.876,0.255
809.948,0.237
808.019,0.218
806.091,0.200
804.162,0.185
802.234,0.173
800.305,0.164
798.377,0.157
796.448,0.152
794.520,0.150
792.592,0.151
790.663,0.156
788.735,0.164
786.806,0.175
784.878,0.190
782.949,0.208
781.021,0.230
779.092,0.255
777.164,0.281
775.236,0.306
773.307,0.325
771.379,0.336
769.450,0.337
767.522,0.329
765.593,0.314
763.665,0.297
761.736,0.282
759.808,0.272
757.880,0.268
755.951,0.269
754.023,0.272
752.094,0.273
750.166,0.272
748.237,0.267
746.309,0.259
744.380,0.249
742.452,0.239
740.523,0.229
738.595,0.221
736.667,0.214
734.738,0.208
732.810,0.202
730.881,0.196
728.953,0.191
727.024,0.188
725.096,0.186
723.167,0.184
721.239,0.183
719.311,0.183
717.382,0.184
715.454,0.186
713.525,0.188
711.597,0.190
709.668,0.193
707.740,0.196
705.811,0.197
703.883,0.197
701.955,0.197
700.026,0.197
698.098,0.198
696.169,0.200
694.241,0.203
692.312,0.206
690.384,0.210
688.455,0.214
686.527,0.218
684.599,0.223
682.670,0.227
680.742,0.231
678.813,0.234
676.885,0.240
674.956,0.247
673.028,0.253
671.099,0.257
669.171,0.260
667.242,0.262
665.314,0.261
663.386,0.260
661.457,0.258
659.529,0.257
657.600,0.260
655.672,0.263
653.743,0.264
651.815,0.265
649.886,0.264
647.958,0.263
646.030,0.261
644.101,0.259
642.173,0.256
640.244,0.252
638.316,0.248
636.387,0.244
634.459,0.239
632.530,0.233
630.602,0.228
628.674,0.224
626.745,0.220
624.817,0.218
622.888,0.217
620.960,0.218
619.031,0.222
617.103,0.228
615.174,0.234
613.246,0.240
611.318,0.243
609.389,0.242
607.461,0.237
605.532,0.229
603.604,0.219
601.675,0.209
599.747,0.200
597.818,0.195
595.890,0.192
593.962,0.191
592.033,0.191
590.105,0.192
588.176,0.193
586.248,0.194
584.319,0.194
582.391,0.194
580.462,0.192
578.534,0.188
576.606,0.182
574.677,0.174
572.749,0.165
570.820,0.156
568.892,0.147
566.963,0.139
565.035,0.132
563.106,0.126
561.178,0.122
559.250,0.118
557.321,0.115
555.393,0.114
553.464,0.113
551.536,0.113
549.607,0.114
547.679,0.114
545.750,0.115
543.822,0.115
541.893,0.115
539.965,0.114
538.037,0.114
536.108,0.114
534.180,0.114
532.251,0.117
530.323,0.122
528.394,0.131
526.466,0.144
524.537,0.163
522.609,0.186
520.681,0.211
518.752,0.237
516.824,0.264
514.895,0.290
512.967,0.309
511.038,0.317
509.110,0.314
507.181,0.300
505.253,0.279
503.325,0.254
501.396,0.227
499.468,0.203
497.539,0.187
495.611,0.178
493.682,0.173
491.754,0.169
489.825,0.166
487.897,0.164
485.969,0.161
484.040,0.157
482.112,0.150
480.183,0.143
478.255,0.139
476.326,0.135
474.398,0.132
472.469,0.131
470.541,0.130
468.613,0.131
466.684,0.132
464.756,0.131
462.827,0.130
460.899,0.129
458.970,0.130
457.042,0.130
455.113,0.129
453.185,0.128
451.257,0.130
449.328,0.134
447.400,0.140
445.471,0.147
443.543,0.153
441.614,0.157
439.686,0.159
437.757,0.160
435.829,0.159
433.900,0.158
431.972,0.156
430.044,0.155
428.115,0.155
426.187,0.157
424.258,0.157
422.330,0.157
420.401,0.156
418.473,0.153
416.544,0.151
414.616,0.151
412.688,0.152
410.759,0.154
408.831,0.161
406.902,0.167
404.974,0.172
403.045,0.174
401.117,0.376
